class A,class B,mean,median,std
lm555cmx,lm555cmx,0.1491578947368421,0.15789473684210525,0.06138845930863625
lm555cmx,lmc555im,1.0,1.0,0.0
lm555cmx,lmc555imx,1.0,1.0,0.0
lm555cmx,msp430g2210id,1.0,1.0,0.0
lm555cmx,msp430g2210idr,1.0,1.0,0.0
lm555cmx,msp430g2230id,1.0,1.0,0.0
lm555cmx,msp430g2230idr,1.0,1.0,0.0
lmc555im,lm555cmx,1.0,1.0,0.0
lmc555im,lmc555im,0.14668421052631578,0.15789473684210525,0.06727030272571147
lmc555im,lmc555imx,0.43752631578947365,0.42105263157894735,0.09657616516858784
lmc555im,msp430g2210id,0.9860526315789475,1.0,0.02322806355011303
lmc555im,msp430g2210idr,0.9850526315789474,1.0,0.023733515929869158
lmc555im,msp430g2230id,1.0,1.0,0.0
lmc555im,msp430g2230idr,1.0,1.0,0.0
lmc555imx,lm555cmx,1.0,1.0,0.0
lmc555imx,lmc555im,0.43310526315789466,0.42105263157894735,0.09964700856417855
lmc555imx,lmc555imx,0.15142105263157896,0.15789473684210525,0.06182521605882361
lmc555imx,msp430g2210id,0.9994736842105263,1.0,0.00523677598477169
lmc555imx,msp430g2210idr,0.9995263157894736,1.0,0.00497055039116754
lmc555imx,msp430g2230id,1.0,1.0,0.0
lmc555imx,msp430g2230idr,1.0,1.0,0.0
